wk_ending,state,deaths_st,cases_st,pop_st,deaths_pc_st,cases_pc_st,st_code,wk_tests,tests_pc,cum_all_doses,cum_1st_doses,wk_all_doses,wk_1st_doses,curr_date
2021-02-23,Washington,1371,83195,185729,0.0073817228327294065,0.0073817228327294065,WA,35306936,4.5282138230880715,1493572,1033551,327101,162698,NA
2021-02-23,West Virginia,280,11920,31441,0.008905569161286219,0.008905569161286219,WV,14737137,8.28827717693904,470643,293891,79457,46202,NA
2021-02-23,Wisconsin,1260,106512,78681,0.016014031341747056,0.016014031341747056,WI,46524372,7.950505746144316,1259647,869836,283598,159928,NA
2021-02-23,Wyoming,131,8141,23150,0.005658747300215983,0.005658747300215983,WY,4344041,7.661110180327146,136163,92151,37064,20498,NA
2021-03-02,Alabama,1374,71145,71060,0.01933577258654658,0.01933577258654658,AL,15991832,3.257907925241718,1000613,637989,162829,57512,NA
2021-03-02,Alaska,160,26773,22454,0.0071256791662955375,0.0071256791662955375,AK,11774915,16.04207481723483,268406,167759,28479,13367,NA
2021-03-02,Arizona,9152,511636,428159,0.021375236769517865,0.021375236769517865,AZ,53329509,7.227699569966212,1849259,1275068,323465,153295,NA
2021-03-02,Arkansas,583,37462,39192,0.01487548479281486,0.01487548479281486,AR,18619419,6.126824284304047,661572,424534,121380,51748,NA
2021-03-02,California,21569,1194333,658537,0.03275290530372629,0.03275290530372629,CA,337760370,8.457223661971831,9106077,6304718,1377957,735245,NA
2021-03-02,Colorado,765,59842,87253,0.0087676068444638,0.0087676068444638,CO,43239361,7.396995824159657,1412910,925066,179444,92268,NA
2021-03-02,Connecticut,2286,81181,356528,0.006411838621370552,0.006411838621370552,CT,44214286,12.409007375641298,1031305,715456,138423,112759,NA
2021-03-02,Delaware,697,49817,194752,0.00357891061452514,0.00357891061452514,DE,9706792,9.875716124306258,225374,148491,38755,13316,NA
2021-03-02,District of Columbia,1019,40767,235249,0.0043315805805763255,0.0043315805805763255,DC,8544948,12.107630333163774,198047,129157,31323,18234,NA
2021-03-02,Florida,5481,412908,311271,0.017608450514182177,0.017608450514182177,FL,132823586,6.039357340972128,5047960,3225973,641955,341742,NA
2021-03-02,Georgia,1133,92712,65946,0.017180723622357688,0.017180723622357688,GA,50209635,4.676710816777042,2072628,1282199,192199,68975,NA
2021-03-02,Hawaii,349,22218,202267,0.0017254421136418693,0.0017254421136418693,HI,7699735,5.450406670961074,389644,248885,56045,24079,NA
2021-03-02,Idaho,437,46895,38849,0.011248680789724318,0.011248680789724318,ID,4461838,2.4432897446006923,404250,260280,63806,31060,NA
2021-03-02,Illinois,9400,475386,121844,0.07714782837070353,0.07714782837070353,IL,126307612,9.977141006500943,2906555,2028167,490521,241368,NA
2021-03-02,Indiana,1647,90769,71619,0.022996690822267834,0.022996690822267834,IN,55805675,8.27320672759753,1615149,1016163,281875,128227,NA
2021-03-02,Iowa,551,51690,31238,0.017638773288942953,0.017638773288942953,IA,9182667,2.8877673475163923,734845,543027,119917,85534,NA
2021-03-02,Kansas,744,54370,27227,0.02732581628530503,0.02732581628530503,KS,8779135,3.0165117030195576,620939,417111,103560,56294,NA
2021-03-02,Kentucky,825,73250,36620,0.022528672856362644,0.022528672856362644,KY,27283919,6.063510819634241,1046835,691600,195395,112051,NA
2021-03-02,Louisiana,847,44014,70436,0.012025100800726902,0.012025100800726902,LA,38849717,8.363447056949354,1076576,688286,169242,92121,NA
2021-03-02,Maine,180,12620,74678,0.0024103484292562734,0.0024103484292562734,ME,11098690,8.24697018108323,355810,231353,54105,25467,NA
2021-03-02,Maryland,1418,73509,232526,0.006098242777151802,0.006098242777151802,MD,54837754,9.014741448467234,1364145,875682,231662,111656,NA
2021-03-02,Massachusetts,3452,112066,405441,0.008514185787821163,0.008514185787821163,MA,112561943,16.1342119370467,1803528,1271120,303451,170345,NA
2021-03-02,Michigan,4147,102411,114791,0.036126525598696765,0.036126525598696765,MI,72586382,7.226120657043305,2357259,1487953,371748,199543,NA
2021-03-02,Minnesota,1586,100764,63366,0.02502919546760092,0.02502919546760092,MN,48171161,8.450087621279604,1429631,956172,259372,155688,NA
2021-03-02,Mississippi,389,19690,35430,0.010979395992097093,0.010979395992097093,MS,12157097,4.066925259094224,637116,419824,131461,62651,NA
2021-03-02,Missouri,1974,88643,56155,0.035152702341732706,0.035152702341732706,MO,31270467,5.068746707471062,1375027,894338,264114,146534,NA
2021-03-02,Montana,236,16237,18427,0.012807293645194551,0.012807293645194551,MT,7503211,6.904202399793883,284679,190126,41664,20962,NA
2021-03-02,Nebraska,625,63904,20362,0.0306944308024752,0.0306944308024752,NE,16533011,8.467307702156646,476315,311629,83559,45398,NA
2021-03-02,Nevada,3871,227107,162113,0.023878405803359384,0.023878405803359384,NV,18973209,6.043077594389201,715121,463388,116698,53295,NA
2021-03-02,New Hampshire,582,28649,113309,0.005136396932282519,0.005136396932282519,NH,10130321,7.387654329990884,324806,227837,50539,37773,NA
2021-03-02,New Jersey,2683,78445,386182,0.006947501437146216,0.006947501437146216,NJ,74365385,8.321468415734449,2096498,1392863,337439,187224,NA
2021-03-02,New Mexico,863,52682,59909,0.014405181191473736,0.014405181191473736,NM,18748984,8.942395451770452,711612,458941,99116,54300,NA
2021-03-02,New York,9144,212927,303961,0.03008280667585644,0.03008280667585644,NY,264412634,13.601123119261336,4583616,2954858,810914,521193,NA
2021-03-02,North Carolina,864,97203,102824,0.008402707539095932,0.008402707539095932,NC,66125323,6.231242567306515,2525579,1634790,407361,244877,NA
2021-03-02,North Dakota,196,21415,13855,0.014146517502706605,0.014146517502706605,ND,9852210,12.934111218907661,238585,154013,42009,25344,NA
2021-03-02,Ohio,2013,112182,129878,0.015499160750858498,0.015499160750858498,OH,69850314,5.945871447176894,2660844,1728576,432112,213128,NA
2021-03-02,Oklahoma,758,80870,50088,0.015133365277112282,0.015133365277112282,OK,24455861,6.183811399760293,1119049,709513,212466,109220,NA
2021-03-02,Oregon,532,31920,110993,0.004793095060048832,0.004793095060048832,OR,25024031,5.818067280619564,1024055,652299,159095,83570,NA
2021-03-02,Pennsylvania,3127,118906,185536,0.01685387202483615,0.01685387202483615,PA,72426529,5.649098659220492,2835338,1957354,454259,247713,NA
2021-03-02,Rhode Island,1815,81582,151337,0.01199310148873045,0.01199310148873045,RI,20866931,19.757357786698986,269512,190901,57852,43783,NA
2021-03-02,South Carolina,869,64064,107264,0.008101506563245823,0.008101506563245823,SC,34954665,6.7090199804226405,1116811,744420,175675,90251,NA
2021-03-02,South Dakota,332,28079,13009,0.025520793296948268,0.025520793296948268,SD,4827706,5.346136937212287,282075,186081,44845,26953,NA
2021-03-02,Tennessee,1492,87316,70403,0.021192278738121954,0.021192278738121954,TN,47336007,6.862697786759994,1394659,912983,254823,145157,NA
2021-03-02,Texas,5110,353450,113265,0.0451154372489295,0.0451154372489295,TX,136372981,4.627157737943764,5572496,3679952,772210,370019,NA
2021-03-02,Utah,768,138909,86647,0.008863549805532793,0.008863549805532793,UT,19914478,6.067565475972847,721029,464475,109119,96265,NA
2021-03-02,Vermont,88,4926,38999,0.00225646811456704,0.00225646811456704,VT,7397814,11.778814478211512,168050,109761,23965,13546,NA
