carrier,carrier_name
UM,Air Zimbabwe Pvt Ltd
UN,Transaero Airlines
UO,Hong Kong Express Airways Limited
UP,Bahamasair Holdings Limited
UQ,Sky Jet Aviation Ltd
UR,Utair Express Limited Company
US,Piedmont Airlines Inc
US,US Airways Inc
UT,UTair Aviation Joint Stock Company
UU,Air Austral
UV,Universal Airways Inc
UX,Air Europa Lineas Aereas SA
UZ,Buraq Air Transport BRQ
V0,CONVIASA
V4,Vensecar Internacional CA
V5,Vip Air spol Sro
V6,Voyager Airlines Ltd
V7,Air Senegal International
V8,OOO Atran
VA,Virgin Blue International Airlines
VD,Kunpeng Airlines Co Ltd
VE,CAI Second SpA
VF,Valuair Ltd
VH,Aeropostal Alas de Venezuela CA
VI,Volga Dnepr Airline Joint Stock
VK,Virgin Nigeria Airways
VL,Air Via Ltd
VL,Med View Airlines NIG Ltd
VM,Macair Jet SA
VN,Vietnam Airlines Corporation
VO,Tyrolean Airways Tiroler Luftfahrt GmbH
VP,Air Speed Up
VR,Transportes Aereos de Cabo Verde
VS,Virgin Atlantic Airways Limited
VT,Air Tahiti
VU,Societe Nouvelle Air Ivoire
VV,Aerosvit Airlines
VW,Transportes Aeromar SA de CV
VX,Virgin America Inc
VZ,MyTravel Airways Limited
W5,Mahan Airlines
W7,Sayakhat Airlines
W8,Cargojet Airways Ltd
W9,Air Bagan Ltd
WA,KLM Cityhopper
WB,Rwandair Express
WC,Islena de Inversiones SA de CV
WE,Centurion Air Cargo Inc
WF,Wideroes Flyveselskap AS
WG,Sunwing Airlines Inc
WH,Webjet Linhas Aereas S A
WI,Tradewinds Airlines Inc
WJ,Labrador Airways Limited
WK,Edelweiss Air AG
WL,Aeroperlas
WM,Windward Islands Airways Intl NV
WN,Southwest Airlines Co
WO,World Airways
WP,Hawaii Island Air Inc
WQ,Romanian Aviation Company
WS,WestJet
WX,Cityjet
WY,Oman Air SAOG
WZ,CJSC Airline 400
X8,Icaro SA
X9,joint stock company Avion Express
XE,ExpressJet Airlines Inc
XF,Vladivostok Air JSC
XG,Catair Lineas Aereas SA Clickair SA
XJ,Mesaba Aviation Inc
XK,Compagnie Aerienne Corse
XL,Lan Ecuador Aerolane Lineas Aereas
XM,Australian Air Express Pty Ltd
XN,Air Nepal International Pvt Ltd
XO,LTE International Airways SA
XQ,SunExpress
XR,Skywest Airlines Pty Ltd
XT,SkyStar Airways Company Limited
XV,MR Lines
XW,Sky Express
Y0,Friendship Airways
Y2,Globespan Airways Limited
Y4,Concesionaria Vuela Compania De Aviacion
Y5,Aircompany Asia Wings JSC
Y8,Yangtze River Express Airlines Company
Y9,Kish Airlines
YC,Yamal Airlines
YD,Mauritania Airways
YK,Kibris Turk Hava Yollari
YL,Air Bissau International Lda
YM,Montenegro Airlines
YN,Air Creebec 1994 Inc
YO,Heli Air Monaco
YQ,Aircompany Polet
YR,Scenic Airlines Inc
YS,Regional Compagnie Aerienne Europeenne
YV,Mesa Airlines Inc
YW,Air Nostrum LAMSA
YX,Midwest Airlines Inc
Z3,Avient Aviation PVT Limited
Z4,Zoom Airlines Inc
Z5,GMG Airlines Ltd
Z6,Dnieproavia Joint Stock Aviation Co
Z8,Amaszonas SA
ZA,Interavia Airlines
ZB,Monarch Airlines
ZD,Dolphin Air
ZG,Viva Macau Limited
ZH,Shenzhen Airlines
ZI,Aigle Azur
ZJ,Zambezi Airlines
ZK,Great Lakes Aviation Ltd
ZL,REGIONAL EXPRESS PTY LIMITED
ZM,Cityline Hungary Kft
ZN,Naysa
ZP,Silk Way Airlines
ZR,Aviacon Zitotrans Air Company JSC
ZS,Sama Airways Ltd
ZT,Titan Airways Limited
ZU,Air Bashkortostan Ltd
ZV,Air Midwest
ZW,Air Wisconsin Airlines Corporation
ZY,Eznis Airways Co Ltd
*c,Unknown Canadian Airline
*f,Unknown Foreign Airline
*u,Unknown US Airline
*o,Aircraft Under Their Own Power
B6,JetBlue Airways
